Name	IDNUM	Age	Balance
Person-0078	1887880	59	120066.11
Person-0901	1890406	78	142055.62
Person-0535	1891377	51	190860.30
Person-0246	1900214	71	142149.38
Person-0763	1903574	82	96285.27
Person-0162	1907386	42	199139.80
Person-0164	1921258	57	165528.08
Person-0372	1941423	31	107484.23
Person-0667	1942361	87	50375.02
Person-0151	1942516	34	169973.12
Person-0292	1947385	66	62156.66
Person-0906	1952099	34	59433.03
Person-0312	1952357	90	11857.99
Person-0106	1952814	81	177826.39
Person-0248	1974252	86	192359.95
Person-0255	1984275	56	136299.45
Person-0966	1985717	61	47982.03
Person-0009	2000291	71	102643.01
Person-0840	2006885	77	73464.09
Person-0752	2018439	76	187877.02
Person-0551	2024791	91	192100.33
Person-0109	2055742	17	157794.67
Person-0443	2077156	46	125706.14
Person-0995	2077836	86	134925.33
Person-0407	2090047	3	14777.50
Person-0563	2094979	1	91707.85
Person-0291	2100609	81	10880.79
Person-0226	2108655	3	192443.91
Person-0712	2122864	3	168697.70
Person-0764	2126447	52	165871.05
Person-0384	2130304	11	73702.93
Person-0155	2139078	88	71203.16
Person-0170	2140622	69	46555.64
Person-0594	2149486	34	66575.30
Person-0294	2154427	40	160768.88
Person-0345	2170595	70	98102.31
Person-0584	2203123	93	88229.97
Person-0348	2207350	78	27860.16
Person-0405	2210870	22	94130.91
Person-0177	2214382	5	185057.67
Person-0105	2222281	28	186833.19
Person-0984	2224967	17	137074.72
Person-0199	2232551	90	80785.93
Person-0032	2252434	82	130785.15
Person-0400	2260398	2	158746.14
Person-0795	2260792	7	25086.51
Person-0644	2271831	20	137727.14
Person-0251	2277844	27	38967.20
Person-0017	2282471	43	193947.58
Person-0472	2286301	2	41816.14
Person-0808	2310006	11	125008.92
Person-0020	2320404	20	189038.16
Person-0999	2329871	32	183732.66
Person-0299	2331121	74	44011.28
Person-0397	2336572	27	37572.54
Person-0578	2340231	22	186369.45
Person-0482	2356374	83	187312.08
Person-0698	2366476	18	192215.56
Person-0447	2376644	67	16102.76
Person-0399	2386360	28	185651.27
Person-0951	2397327	20	190940.44
Person-0539	2413129	86	33415.53
Person-0483	2419089	46	185484.66
Person-0803	2429971	50	188397.98
Person-0736	2440019	34	191274.41
Person-0469	2445550	10	109540.51
Person-0802	2447533	3	143842.77
Person-0343	2447843	32	146998.56
Person-0751	2452553	39	84752.12
Person-0466	2454335	87	61588.55
Person-0831	2458245	67	20226.27
Person-0391	2462701	8	108126.62
Person-0329	2465031	85	144588.41
Person-0280	2480766	36	38069.07
Person-0741	2484879	4	71137.46
Person-0899	2494329	16	106590.58
Person-0175	2496748	20	13163.98
Person-0954	2528892	71	42665.37
Person-0678	2565637	71	61549.21
Person-0889	2589111	18	6764.74
Person-0051	2590721	59	3662.12
Person-0159	2615705	75	108796.33
Person-0187	2635864	74	30244.10
Person-0273	2648728	83	52590.99
Person-0511	2650518	27	108130.49
Person-0174	2652106	7	47791.72
Person-0550	2653880	79	155457.62
Person-0781	2663416	95	156182.52
Person-0896	2671351	67	36615.81
Person-0288	2673817	6	6983.86
Person-0845	2681231	14	137699.23
Person-0231	2691280	90	110113.71
Person-0219	2711809	30	115651.63
Person-0152	2714082	97	133531.11
Person-0114	2733255	49	67010.23
Person-0956	2741831	67	182298.64
Person-0618	2743310	35	96457.24
Person-0838	2753063	15	101481.98
Person-0441	2766580	19	56544.26
Person-0401	2766965	48	14560.46
Person-0289	2770618	78	80091.55
Person-0938	2783108	52	158900.98
Person-0179	2808791	33	185257.70
Person-0076	2834358	66	182178.11
Person-0301	2836869	74	108983.99
Person-0262	2859175	94	171934.89
Person-0135	2864183	21	170175.03
Person-0229	2873932	65	138631.47
Person-0252	2887638	68	90840.65
Person-0439	2894512	72	121770.44
Person-0835	2933192	18	62199.88
Person-0915	2934919	95	10078.53
Person-0027	2937563	76	16672.28
Person-0245	2948819	34	114392.59
Person-0982	2971322	50	157142.52
Person-0403	2973057	67	905.31
Person-0275	2977268	88	8746.60
Person-0715	2994758	3	62650.15
Person-0421	3001588	95	14065.04
Person-0056	3015970	97	197394.44
Person-0455	3046185	89	24312.97
Person-0390	3046936	13	108241.43
Person-0311	3052763	23	10852.43
Person-0976	3064213	77	37996.42
Person-0242	3081327	77	61959.32
Person-0192	3087632	60	61943.19
Person-0350	3108289	76	34968.75
Person-0685	3117130	14	1767.79
Person-0200	3135440	21	192756.78
Person-0773	3143940	7	168447.80
Person-0614	3165145	61	130526.90
Person-0346	3174774	29	70375.52
Person-0363	3194309	85	182347.16
Person-0766	3194673	26	39755.54
Person-0319	3227982	66	182525.64
Person-0967	3232111	28	82082.19
Person-0088	3255004	47	55390.14
Person-0411	3295874	36	164134.55
Person-0577	3300306	47	34131.63
Person-0154	3308695	37	197781.08
Person-0396	3312934	43	105616.13
Person-0147	3333448	72	86698.89
Person-0040	3336677	37	15625.26
Person-0176	3337446	69	7451.91
Person-0798	3337729	17	57163.40
Person-0962	3360266	5	171996.20
Person-0173	3385827	29	40942.02
Person-0261	3395571	18	77912.34
Person-0705	3405343	57	193655.92
Person-0719	3409733	79	55922.42
Person-0182	3418425	16	38902.17
Person-0587	3420515	34	12094.94
Person-0624	3425392	89	182490.12
Person-0608	3442437	20	17602.92
Person-0566	3463542	78	55289.69
Person-0913	3464273	8	114265.37
Person-0239	3474705	92	5324.59
Person-0395	3487742	28	67812.69
Person-0639	3500445	16	144641.09
Person-0873	3503970	28	85887.78
Person-0208	3517921	42	110348.32
Person-0140	3526749	21	184813.19
Person-0082	3553454	69	184151.67
Person-0131	3575910	97	85740.16
Person-0023	3595613	7	99313.26
Person-0581	3597708	9	135883.66
Person-0733	3605680	67	163537.92
Person-0440	3630241	90	154966.78
Person-0827	3634317	96	111985.04
Person-0799	3643125	9	163542.66
Person-0341	3645624	29	4075.10
Person-0067	3652145	19	18225.69
Person-0888	3655185	55	114259.34
Person-0036	3655481	86	84449.71
Person-0347	3673432	5	174431.16
Person-0214	3676922	73	27923.41
Person-0026	3682157	38	125611.53
Person-0098	3686073	89	8638.25
Person-0917	3695153	23	24599.97
Person-0227	3718906	52	38315.87
Person-0360	3721127	44	57121.20
Person-0388	3731331	28	199895.61
Person-0555	3743928	32	164442.77
Person-0512	3744101	90	105351.74
Person-0213	3753697	61	181586.17
Person-0503	3756939	52	138916.17
Person-0168	3765652	72	122505.81
Person-0426	3791592	31	179983.91
Person-0415	3806682	55	169646.16
Person-0604	3815299	56	27410.33
Person-0837	3817277	32	65673.56
Person-0748	3818194	62	4920.16
Person-0718	3822565	3	149044.05
Person-0354	3823712	48	79930.68
Person-0543	3826527	54	62134.73
Person-0920	3834976	21	106077.32
Person-0864	3841653	88	120847.55
Person-0133	3842114	42	197686.77
Person-0933	3852140	42	49064.57
Person-0249	3852273	88	9886.91
Person-0893	3855007	37	69387.42
Person-0656	3869941	29	61612.54
Person-0990	3877433	7	37511.94
Person-0084	3891093	23	14311.26
Person-0742	3893768	11	110990.21
Person-0493	3901864	90	152434.03
Person-0339	3903883	17	135067.62
Person-0211	3934121	54	44773.46
Person-0355	3943010	43	1521.26
Person-0657	3946121	62	198063.86
Person-0077	3961487	57	57139.27
Person-0356	3968450	28	60893.49
Person-0374	3979945	14	110247.44
Person-0516	3980011	91	27489.11
Person-0964	3998786	28	33124.05
Person-0361	3998963	5	31875.00
Person-0240	4000657	23	58197.38
Person-0158	4001344	70	154431.00
Person-0091	4004460	83	132049.41
Person-0122	4006949	39	154822.12
Person-0364	4009003	67	47038.20
Person-0557	4022027	1	138070.48
Person-0066	4029181	50	107423.10
Person-0937	4039563	81	1178.64
Person-0298	4045458	24	90096.97
Person-0283	4049706	68	114463.23
Person-0548	4061296	76	37415.33
Person-0324	4065103	78	44582.90
Person-0740	4070562	76	183136.25
Person-0708	4071318	91	90764.76
Person-0476	4071622	84	37144.74
Person-0340	4071779	75	6970.15
Person-0790	4089085	47	176704.41
Person-0589	4108656	39	12762.20
Person-0980	4111655	56	136371.91
Person-0911	4111674	87	71801.32
Person-0688	4118236	53	51431.41
Person-0014	4131938	15	137833.23
Person-0973	4153770	60	15925.44
Person-0416	4154755	91	195793.34
Person-0385	4159542	38	128490.72
Person-0100	4164344	13	123320.76
Person-0225	4174031	23	22397.55
Person-0619	4176303	89	168967.41
Person-0565	4197318	40	58377.95
Person-0143	4203746	28	101872.65
Person-0871	4205369	36	46321.44
Person-0676	4230720	41	140504.36
Person-0881	4241594	28	130656.04
Person-0065	4242457	71	44032.56
Person-0650	4243039	11	33765.99
Person-0368	4245477	97	120083.28
Person-0877	4246381	43	1630.40
Person-0007	4249776	37	68738.23
Person-0404	4252923	39	114757.19
Person-0862	4266287	81	72285.47
Person-0450	4269087	16	81902.42
Person-0972	4289661	79	100894.26
Person-0457	4302280	69	176012.11
Person-0310	4305034	29	30984.72
Person-0342	4318986	13	169744.09
Person-0822	4322458	23	31446.55
Person-0702	4333888	43	55384.85
Person-0948	4336184	91	60160.87
Person-0278	4337872	53	138378.52
Person-0042	4344216	21	3767.77
Person-0247	4364668	48	84403.75
Person-0666	4393129	95	176268.27
Person-0096	4398414	89	89360.85
Person-0586	4402449	20	81586.40
Person-0648	4426095	31	68723.36
Person-0755	4439041	42	70236.12
Person-0547	4440800	34	39489.32
Person-0103	4450599	57	155119.45
Person-0696	4453763	64	138274.23
Person-0726	4453787	1	97853.09
Person-0744	4465067	47	160901.83
Person-0895	4477685	21	196833.34
Person-0392	4481418	35	71155.81
Person-0623	4486703	29	131528.23
Person-0844	4503644	89	77518.88
Person-0776	4507432	61	80488.96
Person-0517	4518610	9	125482.54
Person-0931	4519976	82	41457.88
Person-0518	4541021	51	35517.90
Person-0819	4541396	50	89254.33
Person-0950	4546067	2	153589.09
Person-0118	4547111	65	179100.09
Person-0389	4547268	52	130061.49
Person-0436	4559274	42	171191.75
Person-0750	4561397	41	59890.12
Person-0045	4570069	19	117399.34
Person-0030	4573263	43	126683.79
Person-0918	4579273	63	186753.30
Person-0532	4589916	30	77559.02
Person-0590	4600228	46	164158.09
Person-0373	4600812	47	95908.14
Person-0866	4601389	74	64330.68
Person-0485	4604581	42	98549.08
Person-0033	4613568	77	83570.19
Person-0907	4624212	78	7267.98
Person-0545	4631289	73	170089.91
Person-0616	4646409	78	118092.33
Person-0900	4649917	27	159787.09
Person-0428	4652263	25	149060.56
Person-0841	4655967	2	687.76
Person-0367	4658915	48	41993.21
Person-0542	4660520	44	160256.02
Person-0484	4668057	2	91556.26
Person-0658	4670014	7	164955.91
Person-0233	4675766	57	178911.36
Person-0591	4683917	76	48254.41
Person-0054	4691336	95	195937.19
Person-0892	4694539	25	58091.24
Person-0052	4699033	11	195091.84
Person-0258	4718099	89	187004.14
Person-0745	4722014	54	191260.55
Person-0609	4740013	21	116971.66
Person-0675	4745996	82	51631.12
Person-0434	4759736	54	28662.18
Person-0679	4760303	41	30927.67
Person-0978	4764581	19	60879.84
Person-0452	4772026	35	67994.47
Person-0568	4778049	55	106195.20
Person-0830	4782739	34	102515.31
Person-0461	4785259	40	89598.13
Person-0874	4789278	59	138276.55
Person-0039	4792347	54	36381.34
Person-0620	4795994	35	6613.91
Person-0025	4796408	13	69412.05
Person-0651	4800855	60	162003.59
Person-0189	4807343	35	145888.69
Person-0522	4808531	91	166994.91
Person-0110	4811344	51	2058.03
Person-0116	4822034	88	131244.44
Person-0905	4823800	77	19082.36
Person-0935	4831250	84	130972.18
Person-0398	4835551	76	121191.27
Person-0185	4843831	56	30529.33
Person-0994	4847071	41	49537.82
Person-0050	4853117	84	123415.11
Person-0422	4854838	7	48306.68
Person-0965	4855916	67	80407.93
Person-0771	4857833	88	80097.29
Person-0183	4862112	88	12226.85
Person-0488	4871076	85	102215.82
Person-0295	4872719	20	101588.64
Person-0393	4883763	72	112027.01
Person-0839	4891633	52	129209.98
Person-0181	4930793	82	129541.29
Person-0981	4941344	4	29851.92
Person-0757	4943225	19	60138.85
Person-0332	4943841	28	155254.98
Person-0053	4950092	90	39010.36
Person-0402	4952454	34	100892.93
Person-0414	4968262	77	46167.14
Person-0423	4970016	66	107113.68
Person-0217	4978424	93	46792.09
Person-0153	4982455	56	165361.55
Person-0230	5012053	31	112277.42
Person-0201	5019836	2	2669.10
Person-0983	5023355	64	148201.33
Person-0761	5024492	16	156048.94
Person-0847	5038938	87	101121.14
Person-0932	5063208	4	181972.77
Person-0727	5069615	91	137034.45
Person-0504	5070943	4	101876.76
Person-0606	5084164	49	95681.54
Person-0780	5091880	27	98369.47
Person-0833	5093264	95	134751.84
Person-0089	5097443	56	175310.70
Person-0471	5116665	4	137776.45
Person-0713	5129710	16	118173.67
Person-0912	5133227	14	98889.54
Person-0857	5134420	26	11397.89
Person-0649	5136260	53	110893.36
Person-0034	5151499	41	115925.21
Person-0788	5153245	75	54407.11
Person-0690	5155930	4	99494.68
Person-0473	5166460	81	40380.46
Person-0714	5178615	53	139912.62
Person-0711	5179387	11	148152.86
Person-0979	5181293	77	98990.68
Person-0754	5185968	28	138760.94
Person-0957	5197337	8	1481.20
Person-0617	5214222	73	40446.29
Person-0337	5221758	34	37401.92
Person-0148	5221911	31	134034.88
Person-0607	5223067	56	1959.48
Person-0772	5234397	13	29492.77
Person-0556	5235410	60	169611.94
Person-0811	5247201	51	163015.20
Person-0321	5252771	81	32260.35
Person-0456	5254189	17	15314.90
Person-0886	5273414	9	90643.66
Person-0637	5278479	83	182727.08
Person-0996	5290911	83	124420.60
Person-0454	5316353	2	40575.53
Person-0448	5319235	51	37975.69
Person-0203	5323474	28	128907.59
Person-0574	5325222	79	96509.88
Person-0126	5326120	91	127856.94
Person-0012	5327165	20	135310.09
Person-0378	5340690	92	65418.11
Person-0791	5350533	20	12510.25
Person-0125	5383067	8	87707.00
Person-0681	5383807	44	21378.22
Person-0878	5393402	22	5128.17
Person-0523	5404274	70	153984.09
Person-0787	5408151	77	76087.73
Person-0528	5420449	75	146301.56
Person-0910	5431968	50	47909.74
Person-0613	5434128	41	38982.19
Person-0610	5443641	66	849.23
Person-0634	5461648	21	189756.53
Person-0029	5463016	22	151297.75
Person-0597	5469310	30	146239.70
Person-0846	5476014	97	56040.11
Person-0642	5477073	75	175050.55
Person-0991	5480289	33	99027.79
Person-0863	5506607	82	189319.70
Person-0665	5517214	81	13130.04
Person-0509	5525352	25	46328.07
Person-0120	5534884	59	77886.47
Person-0929	5554664	34	158781.33
Person-0474	5568546	21	106829.93
Person-0595	5581703	41	37559.93
Person-0460	5587776	17	187640.50
Person-0194	5588979	6	184168.73
Person-0722	5589263	18	147257.67
Person-0717	5640927	3	4535.28
Person-0753	5649571	39	97616.76
Person-0306	5660572	75	34705.78
Person-0442	5679719	54	145437.38
Person-0322	5684745	96	171968.62
Person-0836	5687979	90	145551.44
Person-0383	5691401	97	47315.83
Person-0635	5708390	74	130170.76
Person-0792	5710529	37	140000.34
Person-0394	5729788	5	57179.36
Person-0132	5729949	45	141394.02
Person-0851	5731666	86	92281.90
Person-0707	5735831	55	9549.44
Person-0817	5740011	69	22989.13
Person-0331	5749533	61	78012.82
Person-0671	5751611	23	34377.73
Person-0323	5761069	29	196343.67
Person-0057	5788228	11	21095.91
Person-0699	5790367	53	19338.08
Person-0625	5791359	78	71662.48
Person-0993	5807074	36	35956.04
Person-0284	5816341	68	15793.08
Person-0381	5856741	20	134631.88
Person-0652	5859909	39	92962.03
Person-0003	5872457	52	160241.62
Person-0701	5882616	61	31315.60
Person-0672	5892558	86	184786.64
Person-0852	5915126	36	31825.00
Person-0498	5915875	92	87468.82
Person-0782	5917270	68	56490.16
Person-0296	5931295	38	173961.58
Person-0097	5936804	54	188085.95
Person-0588	5948788	92	115492.85
Person-0061	5950138	82	176541.98
Person-0821	5957468	32	186914.36
Person-0444	5957565	89	41808.98
Person-0145	5965160	23	57535.29
Person-0317	5965165	87	107965.62
Person-0842	5973487	37	91661.01
Person-0668	5976196	39	84028.51
Person-0046	5980649	14	123251.28
Person-0431	6011919	78	149534.17
Person-0903	6026046	93	77849.84
Person-0141	6026494	45	74086.81
Person-0453	6040306	34	99799.17
Person-0530	6057709	65	145674.77
Person-0596	6061704	43	143471.48
Person-0968	6066282	7	199196.98
Person-0700	6068982	87	120724.78
Person-0575	6069156	24	28684.68
Person-0850	6085710	86	95078.40
Person-0458	6117686	19	55457.94
Person-0674	6126109	5	174726.55
Person-0265	6132537	3	23760.20
Person-0691	6132710	9	38246.52
Person-0724	6139920	84	60567.87
Person-0204	6146156	28	91685.35
Person-0853	6146228	43	99212.04
Person-0865	6151764	61	88550.97
Person-0879	6152497	24	131039.73
Person-0655	6153836	4	28121.72
Person-0569	6169799	81	123870.94
Person-0582	6186316	43	99453.82
Person-0269	6187865	24	83761.91
Person-0638	6195023	52	34905.54
Person-0430	6209071	84	11942.79
Person-0800	6216880	61	162553.06
Person-0188	6228413	71	150365.70
Person-0127	6230425	43	20356.68
Person-0598	6232595	32	26549.40
Person-0043	6234881	30	61157.25
Person-0259	6241019	74	122050.28
Person-0268	6254972	62	128622.84
Person-0834	6270763	76	16071.95
Person-0682	6280633	85	197549.11
Person-0536	6294847	69	62682.09
Person-0789	6295819	23	96752.79
Person-0508	6299301	39	149406.00
Person-0446	6303798	56	126912.38
Person-0636	6311763	27	189524.91
Person-0445	6312904	12	9163.83
Person-0047	6314252	14	24272.45
Person-0869	6315764	57	72440.56
Person-0117	6320398	26	117046.45
Person-0820	6373996	34	114906.11
Person-0195	6384009	84	100548.95
Person-0765	6387719	89	184857.97
Person-0380	6396404	97	80621.85
Person-0683	6399849	46	151722.81
Person-0134	6402220	87	39153.84
Person-0925	6410040	87	88808.16
Person-0369	6411003	60	89117.25
Person-0531	6411591	42	99736.64
Person-0362	6439438	46	128635.96
Person-0855	6442929	84	116139.75
Person-0868	6443376	61	69551.57
Person-0220	6445073	82	77194.76
Person-0157	6445649	96	24887.09
Person-0759	6485365	65	154506.05
Person-0706	6490786	24	143248.52
Person-0703	6495898	62	87037.32
Person-0728	6501474	60	148438.30
Person-0969	6514803	75	110323.59
Person-0276	6516213	54	4100.96
Person-0843	6516628	81	127588.19
Person-0632	6519132	31	64843.54
Person-0630	6543083	95	64954.18
Person-0424	6555771	78	101353.46
Person-0234	6585680	49	73210.33
Person-0470	6587225	66	106559.87
Person-0600	6590323	92	81224.24
Person-0019	6601144	42	17688.46
Person-0746	6611682	3	37726.72
Person-0060	6616471	59	140479.78
Person-0305	6649856	18	145545.75
Person-0730	6680043	21	7771.64
Person-0720	6683407	42	23810.33
Person-0549	6690645	32	176645.84
Person-0178	6700743	17	39971.84
Person-0743	6713394	93	50390.58
Person-0138	6713632	2	108657.33
Person-0626	6721572	7	115257.26
Person-0315	6731026	83	85012.40
Person-0887	6753091	76	193509.81
Person-0202	6755223	2	16791.94
Person-0710	6759705	53	179613.27
Person-0997	6761176	78	25100.35
Person-0570	6769985	53	102068.61
Person-0659	6777226	75	167531.19
Person-0975	6778014	33	123036.53
Person-0011	6786744	20	162748.44
Person-0998	6812869	68	40517.29
Person-0961	6814352	24	148512.98
Person-0487	6815366	67	58338.53
Person-0977	6819839	83	174658.64
Person-0775	6832323	96	44068.58
Person-0059	6843058	10	139827.08
Person-0924	6845651	64	38973.04
Person-0593	6848085	85	188743.20
Person-0205	6865652	47	71764.22
Person-0922	6868320	89	157793.20
Person-0267	6910766	91	158462.44
Person-0119	6939232	28	70411.25
Person-0500	6939485	83	86907.15
Person-0371	6960177	93	32584.69
Person-0734	6962681	86	122442.72
Person-0136	6967237	74	161330.27
Person-0090	6972266	1	122593.97
Person-0479	6972300	31	190645.20
Person-0949	6986488	20	16047.30
Person-0737	6996488	52	25838.36
Person-0196	6996966	75	126561.35
Person-0891	6997643	78	179483.06
Person-0540	6998229	77	199089.02
Person-0612	7003073	20	176844.88
Person-0293	7023209	34	101413.20
Person-0815	7031436	11	173761.64
Person-0953	7033291	87	83559.83
Person-0680	7052724	41	19039.22
Person-0041	7067575	47	199188.84
Person-0277	7084592	34	65455.90
Person-0494	7088484	14	38217.05
Person-0818	7090134	25	35057.99
Person-0349	7100659	6	115711.18
Person-0467	7120227	72	150514.27
Person-0709	7147547	11	137970.56
Person-0870	7148762	25	90917.50
Person-0326	7159986	52	59224.02
Person-0218	7162417	42	120759.04
Person-0171	7169698	46	44664.28
Person-0826	7174568	25	199163.23
Person-0521	7176667	24	183326.91
Person-0325	7179304	62	148917.66
Person-0336	7194616	23	87750.34
Person-0573	7211881	39	140585.28
Person-0129	7248822	69	111938.82
Person-0758	7254829	5	29709.64
Person-0497	7260512	12	26546.71
Person-0579	7262456	4	153445.23
Person-0824	7291412	21	81829.97
Person-0379	7295504	64	96350.32
Person-0760	7323730	19	76043.25
Person-0005	7331266	32	42797.42
Person-0747	7337172	74	171406.92
Person-0860	7339387	78	88434.48
Person-0130	7355474	6	93218.51
Person-0406	7360383	3	130314.98
Person-0254	7384597	90	85440.09
Person-0418	7407877	74	179204.84
Person-0583	7424359	52	76440.67
Person-0123	7441594	32	72949.70
Person-0796	7462109	22	179752.41
Person-0063	7506437	84	12606.90
Person-0290	7514403	92	172471.59
Person-0529	7516081	14	117104.31
Person-0963	7516203	95	29396.47
Person-0137	7519135	73	76509.92
Person-0282	7523636	25	20651.82
Person-0930	7547467	10	84134.83
Person-0048	7560947	18	5248.18
Person-0749	7591604	95	164943.44
Person-0934	7596484	74	35074.58
Person-0664	7598957	95	148099.09
Person-0038	7601533	14	181810.30
Person-0502	7605584	87	138903.41
Person-0366	7618719	93	78624.49
Person-0264	7641308	38	160049.41
Person-0224	7669456	94	78496.78
Person-0303	7673662	94	97633.19
Person-0013	7706892	67	90909.29
Person-0146	7708766	39	154419.88
Person-0387	7710808	8	151011.02
Person-0238	7716999	69	61758.66
Person-0793	7724009	45	8124.18
Person-0409	7725520	39	3500.29
Person-0883	7730279	7	67605.85
Person-0420	7739076	54	35476.43
Person-0464	7746696	83	63678.95
Person-0779	7752246	29	191793.55
Person-0856	7752479	64	186795.56
Person-0694	7762768	73	8315.49
Person-0567	7766550	35	71218.37
Person-0085	7768925	45	100853.49
Person-1000	7773726	93	4683.33
Person-0505	7776312	33	140635.52
Person-0921	7799210	77	21712.70
Person-0848	7799400	64	171892.17
Person-0902	7807244	11	139065.64
Person-0697	7809048	5	88684.85
Person-0459	7818123	73	162919.47
Person-0585	7826032	60	173896.83
Person-0767	7829414	48	165426.19
Person-0507	7840709	96	102332.91
Person-0074	7852653	66	7770.42
Person-0212	7855179	45	44393.46
Person-0987	7875550	49	170788.17
Person-0947	7892797	76	174650.44
Person-0960	7905540	92	99941.03
Person-0599	7907653	52	136719.06
Person-0228	7911699	3	113199.19
Person-0352	7916922	43	26713.57
Person-0002	7919721	76	131615.11
Person-0580	7933754	82	151136.66
Person-0468	7935707	63	75208.87
Person-0806	7943281	12	97630.05
Person-0769	7943891	84	114798.72
Person-0112	7946391	77	116756.49
Person-0942	7979179	33	193949.58
Person-0491	7979338	14	71582.86
Person-0927	7984010	61	28014.64
Person-0959	7985948	79	133748.55
Person-0024	7986245	47	9304.09
Person-0496	7987763	55	119416.82
Person-0524	8018196	92	136993.52
Person-0914	8020778	52	114802.12
Person-0814	8025159	62	46486.16
Person-0144	8041977	4	177217.23
Person-0376	8052499	89	30875.59
Person-0816	8052534	28	76070.68
Person-0451	8058042	33	161788.09
Person-0971	8058747	65	51517.72
Person-0055	8071300	66	26496.61
Person-0946	8083848	81	169955.12
Person-0235	8113851	27	136859.95
Person-0475	8114443	83	106326.46
Person-0897	8130058	62	36978.01
Person-0093	8132913	11	20811.49
Person-0629	8145211	62	69149.40
Person-0072	8161285	80	69130.24
Person-0004	8165978	94	178323.86
Person-0111	8177369	23	142373.25
Person-0095	8184656	19	9804.06
Person-0101	8184949	46	47410.10
Person-0490	8215580	37	187836.95
Person-0916	8222334	53	49205.72
